id,phone_id,online,online_dummy,parent_yn,parent_dummy,gender_own,female,age_own,minage_partner,maxage_partner,height_own,minheight_partner,maxheight_partner,appearance_own,apperance_partner,appearance_own_level,apperance_partner_level,goodlooking_own,goodlooking_partner,status_own,status_own_levels,educ_own,educ_own_levels,min_educ_partner,min_educ_partner_levels
824,0515,offline,0,yes,1,female,1,44,,49,164,170,,,good,,,0,1,single,1,high school,1,,0
825,2976,offline,0,,0,female,1,38,,42,161,170,,,,,,0,0,,,,0,,0
826,7579,offline,0,yes,1,female,1,34,,,160,170,,good,good,,,1,1,single,1,masters degree,4,bachelors degree,3
827,9769,offline,0,yes,1,female,1,28,,28,160,170,,,,,,0,0,,,bachelors degree,3,bachelors degree,3
828,8298,offline,0,,0,female,1,27,,33,159,170,,,,,,0,0,single,1,bachelors degree,3,bachelors degree,3
829,3049,offline,0,,0,male,0,45,41,37,165,,,,good,,,0,1,single,1,bachelors degree,3,,0
830,9462,offline,0,,0,male,0,36,,33,170,160,,good,good,,,1,1,single,1,bachelors degree,3,,0
831,0507,offline,0,,0,female,1,25,,29,168,176,,good,good,,,1,1,,,masters degree,4,masters degree,4
833,1893,offline,0,,0,female,1,26,,31,163,172,,,,,,0,0,,,bachelors degree,3,bachelors degree,3
902,1638,offline,0,yes,1,female,1,29,,34,167,175,,good,good,,,1,1,single,1,masters degree,4,bachelors degree,3
904,9286,offline,0,yes,1,female,1,30,,30,167,167,,good,good,,,1,1,single,1,bachelors degree,3,bachelors degree,3
905,0721,offline,0,Yes,1,male,0,49,,40,175,160,,good,good,,,1,1,divorced,2,high school ,1,high school,1
908,7005,offline,0,yes,1,female,1,34,,39,160,170,,,,,,0,0,single,1,,0,bachelors degree,3
911,6385,offline,0,,0,female,1,27,27,33,158,170,,good,good,,,1,1,,,masters degree,4,bachelors degree,3
912,4562,offline,0,yes,1,female,1,31,,39,162,172,,good,good,,,1,1,single,1,bachelors degree,3,bachelors degree,3
913,2032,offline,0,yes,1,male,0,43,,36,172,160,,,,,,0,0,,,bachelors degree,3,bachelors degree,3
914,2333,offline,0,,0,male,0,39,,31,170,160,,,,,,0,0,,,masters degree,4,bachelors degree,3
915,2941,offline,0,yes,1,male,0,31,,,171,156,,good,god,,,1,1,single,1,vocational,2,,0
916,6119,offline,0,yes,1,male,0,33,25,29,169,160,,good,good,,,1,1,,,,0,bachelors degree,3
917,6538,offline,0,yes,1,female,1,25,26,29,160,,,,,,,0,0,,,bachelors degree,3,,0
918,9899,offline,0,yes,1,female,1,27,27,31,163,175,,good,good,,,1,1,single,1,bachelors degree,3,bachelors degree,3
919,0717,offline,0,yes,1,female,1,27,,31,155,170,,,good,,,0,1,single,1,,0,bachelors degree,3
920,4775,offline,0,yes,1,female,1,29,,33,158,170,,good,good,,,1,1,,,masters degree,4,,0
921,3471,offline,0,yes,1,female,1,29,,33,158,170,,good,,,,1,0,,,,0,bachelors degree,3
922,2347,offline,0,yes,1,female,1,23,25,27,158,170,,,,,,0,0,,,phd,5,bachelors degree,3
923,9603,offline,0,yes,1,female,1,26,,31,165,175,,good,good,,,1,1,single,1,,0,high school,1
924,8506,offline,0,yes,1,female,1,37,,40,155,170,,good,good,,,1,1,single,1,bachelors degree,3,bachelors degree,3
925,2382,offline,0,yes,1,male,0,,38,28,176,,,good,,,,1,0,single,1,bachelors degree,3,bachelors degree,3
926,4163,offline,0,yes,1,female,1,33,,35,165,175,,,good,,,0,1,,,bachelors degree,3,bachelors degree,3
1001,8828,offline,0,yes,1,female,1,32,,32,160,160,,good,,,,1,0,single,1,masters degree,4,,0
1002,5727,offline,0,yes,1,female,1,33,,37,167,175,,good,,,,1,0,single,1,,0,vocational ,2
1003,9787,offline,0,yes,1,female,1,33,,39,,170,,good,good,,,1,1,single,1,bachelors degree,3,bachelors degree,3
1004,2051,offline,0,yes,1,female,1,32,,39,173,176,,good,good,,,1,1,single,1,masters degree,4,,0
1005,0861,offline,0,yes,1,female,1,29,29,36,160,165,,,good,,,0,1,single,1,bachelors degree,3,high school,1
1006,1719,offline,0,yes,1,female,1,25,,29,162,170,,good,good,,,1,1,single,1,bachelors degree,3,,0
1007,0255,offline,0,yes,1,female,1,32,32,39,160,170,,good,good,,,1,1,single,1,masters degree,4,bachelors degree,3
1008,2025,offline,0,yes,1,female,1,32,,37,161,170,,,,,,0,0,single,1,masters degree,4,bachelors degree,3
1009,2826,offline,0,yes,1,female,1,30,32,35,160,170,,,good,,,0,1,single,1,bachelors degree,3,bachelors degree,3
1010,3155,offline,0,yes,1,female,1,32,,37,157,170,,good,good,,,1,1,single,1,masters degree,4,bachelors degree,3
1011,5122,offline,0,yes,1,male,0,46,,40,170,154,,good,good,,,1,1,single,1,bachelors degree,3,,0
1012,9389,offline,0,yes,1,female,1,33,38,,,166,,,good,,,0,1,single,1,masters degree,4,,0
1013,9387,offline,0,yes,1,female,1,33,34,37,155,165,,,,,,0,0,single,1,masters degree,4,bachelors degree,3
1014,7200,offline,0,yes,1,female,1,34,,39,158,170,,,good,,,0,1,single,1,bachelors degree,3,bachelors degree,3
1015,82692,offline,0,yes,1,female,1,34,,39,158,170,,good,good,,,1,1,single,1,,0,bachelors degree,3
1016,8722,offline,0,yes,1,female,1,36,36,36,162,170,,,,,,0,0,single,1,masters degree,4,bachelors degree,3
1018,5779,offline,0,,0,male,0,41,49,,165,150,,good,good,,,1,1,divorced,2,high school,1,,0
1019,2052,offline,0,,0,female,1,36,,41,158,165,,good,good,,,1,1,single,1,masters degree,4,,0
1020,8783,offline,0,yes,1,female,1,31,,43,168,170,,good,good,,,1,1,single,1,bachelors degree,3,bachelors degree,3
1021,7804,offline,0,,0,male,0,30,,30,170,,,good,,,,1,0,single,1,high school,1,,0
1022,4798,offline,0,,0,male,0,50,,40,168,160,,good,good,,,1,1,single,1,high school,1,bachelors degree,3
1023,8058,offline,0,,0,male,0,46,56,46,168,,,good,good,,,1,1,,,phd,5,bachelors degree,3
1024,2818,offline,0,,0,female,1,35,40,30,160,168,,good,,,,1,0,single,1,bachelors degree,3,bachelors degree,3
1025,0862,offline,0,,0,female,1,50,,62,157,170,,good,,,,1,0,divorced,2,high school,1,,0
1026,2554,offline,0,yes,1,female,1,48,,,158,,,,,,,0,0,divorced,2,bachelors degree,3,,0
1027,76653,offline,0,,0,female,1,39,,39,163,170,,good,good,,,1,1,single,1,bachelors degree,3,bachelors degree,3
